"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LYSMD2",-0.297246753761714,5.38534359505711,-1.50081456835462,0.141611795485595,0.317490671736875,-5.44267626218299
"CUL9",0.286217432902135,4.54140336394017,1.50045207650556,0.141705301116794,0.317648681033063,-5.44319206557924
"HLA-K",-0.497581335093773,4.65969738335831,-1.50041600242543,0.141714609208183,0.317659221849537,-5.44324339071297
"ADCY9",-0.271995491698355,4.92975691428395,-1.49943914970076,0.141966849390551,0.318048905426698,-5.44463281196285
"TCP11L1",0.325089792172568,5.51441720127159,1.49939406597351,0.141978499432894,0.318064673592317,-5.44469691719427
"TNFRSF13C",-0.234623816047549,5.04956734741201,-1.49908893388252,0.142057368387811,0.318168927877611,-5.44513074418946
"H2AC6",-0.228370069020992,9.3073081450942,-1.49843662520856,0.142226091049777,0.318433160191629,-5.44605791310573
"NEPRO-AS1",0.319545142889908,3.51991875786943,1.49801629076431,0.142334897223598,0.31859888511596,-5.44665517231931
"CRMP1",0.310954274598366,6.06017519943016,1.49791938432134,0.142359991478273,0.318629518489582,-5.44679284698974
"AOAH",-0.372170755344883,5.10528265617582,-1.49787266237369,0.142372091547929,0.318635920240799,-5.44685922188775
"LRP12",-0.22288574565865,6.41095756185135,-1.4976862139077,0.142420386224045,0.318702639040665,-5.44712407907626
"ANKH",-0.236278215812919,6.50161563350107,-1.49752384703054,0.142462453834231,0.31877609061243,-5.44735470362634
"SYNPR",0.542179392385035,1.90270484903267,1.4969994201856,0.142598395251645,0.318997480474392,-5.44809944363169
"PUM1",0.361289235194666,3.25793123937232,1.49694488264951,0.14261253835893,0.31901877175063,-5.4481768792557
"LINC01856",-0.276475898844889,4.89913249448716,-1.49648923071858,0.142730745385323,0.319158977733942,-5.4488237430677
"WDR73",-0.145088551652279,9.47338830052054,-1.49624292041726,0.142794676721854,0.319260530780156,-5.44917334342678
"IER2",0.376940598592425,7.94324643227846,1.49586707779614,0.142892272985641,0.319385554908761,-5.44970669702079
"KLHL29",0.236344435722205,6.32604598332575,1.49567258549027,0.142942798319084,0.319436373653475,-5.44998265196499
"DSC2",0.223428927006247,7.8880994994502,1.49530829150135,0.143037473186476,0.319564283366835,-5.45049944396946
"CNDP1",0.349266869266296,3.51053926788396,1.49514202406407,0.143080700368253,0.319607374568934,-5.45073527591325
"UBE2R2",-0.196936933802149,8.94180997239407,-1.49511568172896,0.143087549958881,0.319607374568934,-5.45077263746277
"PARP10",-0.237043766814426,7.38456675767223,-1.494408906016,0.143271424966842,0.319911621987927,-5.45177484518386
"HMGA1",-0.183195226474323,8.6871876299471,-1.49424268442728,0.143314696590684,0.319956450453483,-5.45201048626733
"HRAS",-0.224937526063593,6.78931442245942,-1.49371967526969,0.143450916905042,0.320190526826563,-5.4527517691824
"SQLE",0.431153459631271,4.99077805346969,1.49369754306573,0.143456683622845,0.320190526826563,-5.45278313300886
"CILP",-0.362104064437013,9.38672103579135,-1.49335793135553,0.143545195276474,0.320305157663411,-5.45326434934617
"DIDO1",-0.188981774288587,8.11618916780582,-1.49308846933141,0.143615455071039,0.320413956955096,-5.45364609726385
"RAPGEF4",-0.273161230665812,7.20165852734478,-1.49276957300048,0.143698639836318,0.32054384648633,-5.45409779996572
"ZNF526",-0.142241171249645,7.56001199828833,-1.49258579009928,0.143746597429363,0.320600297570646,-5.45435808150733
"TTC12",-0.434504920288139,3.98158714145233,-1.49258352468176,0.14374718866282,0.320600297570646,-5.45436128971519
"GHITM",-0.143493124354404,13.1419238948287,-1.49216972164756,0.143855216374527,0.320796488848915,-5.45494723111369
"SPPL2B",-0.228964776227067,5.72132159466031,-1.49184171563138,0.143940891824965,0.320928535241734,-5.45541158223831
"DUS3L",0.533250750025033,4.05854311599904,1.49143585028931,0.1440469604876,0.321081987745774,-5.45598603171123
"SLC15A1",0.237599221752244,3.76957475955479,1.49119404317675,0.144110183853287,0.321181392760331,-5.45632821218954
"ZNF875",0.223656758278021,7.58622279763975,1.49112662059388,0.144127816237165,0.321201469329878,-5.45642361289113
"KANK4",0.302377364786904,4.31403890535625,1.49101341239695,0.144157426362074,0.321224402177315,-5.45658379009312
"ARPIN",-0.161443155541614,8.94195137400223,-1.49068859344988,0.14424241116133,0.321351479352571,-5.45704331340172
"TTC13",-0.166007864744716,7.65263915426523,-1.49053610650951,0.144282321222196,0.321404693618719,-5.45725900692902
"HMGCLL1",-0.316643813647373,3.90598983307714,-1.49035235475816,0.144330425840282,0.321474873896472,-5.45751889865705
"LMTK2",0.260477088067322,4.6156235735034,1.490244727273,0.144358607718277,0.321516878429606,-5.4576711098072
"UGT3A1",-0.302153554859251,3.89209422244475,-1.49018860405656,0.144373305123989,0.321539229346471,-5.45775047766194
"LINC01132",-0.34274531846553,2.39938558217633,-1.48956060448345,0.144537845380116,0.321801768863923,-5.45863839576373
"LINC01882",0.318811422288726,4.36871114746908,1.4894239004272,0.144573682585014,0.321840000254613,-5.45883163529689
"TRDMT1",-0.291997929130514,4.83461203238968,-1.48939686426887,0.144580770999001,0.321845391853632,-5.4588698506926
"RNF169",-0.134309964516733,10.5142422164831,-1.48912026883206,0.144653305453,0.321965291157369,-5.45926078076231
"NUTM2B",0.576744700520916,5.38151197287973,1.48891476648799,0.144707215202973,0.322023340519106,-5.45955118865451
"SLC39A12-AS1",-0.209948606948361,5.39397785508973,-1.48877073554279,0.144745008602653,0.322080084556829,-5.45975470634856
"EPB41L1",0.32058197933489,7.14799293562359,1.48873350875946,0.144754778106273,0.322080084556829,-5.45980730545844
"NR5A2",0.434689330798633,3.98918626099624,1.48872790587078,0.144756248529688,0.322080084556829,-5.45981522188757
"ZNF575",-0.21847063277756,4.7636179523699,-1.48857250514662,0.144797036673131,0.322150052236962,-5.46003478001365
"LINC02961",-0.340725767552186,2.19004346643874,-1.4874064640854,0.14510338042129,0.322640310011291,-5.46168157325255
"LRRIQ3",-0.649003220871967,2.91515809400921,-1.4873954563367,0.145106274847618,0.322640310011291,-5.46169711397238
"BTBD9",-0.14741313944598,9.44760563294737,-1.48735328337472,0.145117364418979,0.32264311155906,-5.46175665273873
"GBA",-0.253991531842194,7.26665017000129,-1.48714976006056,0.145170891282682,0.322696350377968,-5.46204396094291
"ANAPC2",0.187203880338124,6.261522391028,1.48675324685541,0.145275219852265,0.32282862110419,-5.46260360729892
"HES5",0.411973998712773,4.4737081464483,1.48630240307737,0.145393916118912,0.322957323517989,-5.46323977578832
"FRMD6-AS2",0.322722500775853,3.9076132519332,1.48611896774955,0.145442232295337,0.323022823514182,-5.46349856533257
"EXOSC2",-0.24592626464641,5.52932224173575,-1.4860987315217,0.145447563224394,0.323024261329463,-5.46352711275263
"PTPRD-AS1",-0.43171493005282,4.24988114003872,-1.48582028584754,0.145520931332886,0.323114372353009,-5.46391988337842
"SMAD3",-0.239844665347855,5.64143485752739,-1.48547307805773,0.145612458947599,0.32323435125896,-5.46440955703285
"RRAGC",-0.359799404577507,3.49943582577138,-1.4854018446092,0.145631242494657,0.323265643038734,-5.46451000632902
"PSMG3-AS1",-0.293481641898189,5.18940133952776,-1.48480645948511,0.145788315016397,0.32354141472041,-5.46534941664416
"ZBTB2",-0.184401278630484,7.65379495350799,-1.48463417912164,0.145833790588108,0.323595083263979,-5.46559225223562
"CNNM3",-0.194036239338789,7.1835751831712,-1.48433101341011,0.145913842402953,0.32370907188931,-5.46601951479515
"ZNF699",-0.187622894473236,7.08878859129399,-1.48423453039402,0.145939326365531,0.323741125709392,-5.46615547558196
"ATF6B",0.408053023221644,6.54331789775544,1.48400637631123,0.145999602563463,0.323835280933326,-5.46647695178429
"HNRNPA1P16",0.209961491913324,5.44743547781694,1.48344509956924,0.146147970985848,0.324037212167485,-5.46726762122644
"CADM2-AS1",-0.180635421327965,5.97439416355806,-1.48320914996443,0.146210377924666,0.324082394187114,-5.46759992359672
"UBTF",0.591588641358832,8.2960276612508,1.48319040033953,0.146215337971878,0.324082394187114,-5.46762632783379
"AMPH",0.367445932069391,7.04517331113432,1.48299204765886,0.146267818615008,0.324157046684782,-5.46790564064673
"RAMP2-AS1",-0.453550714870307,3.48565739814758,-1.48293237584875,0.146283609661617,0.324175860946606,-5.46798966175623
